APIs,Count
writeIntArray,2027
writeLongArray,1535
writeFloatArray,1527
readVersionedParcelable,1007
writeVersionedParcelable,1007
hashCode,97389
goAsync,3241
getInputData,1038
getWorkerFactory,307
getId,29206
getBackgroundExecutor,632
execute,19816
sendMessage,4918
sendEmptyMessage,3217
getMainActivity,85
getInstallVersion,197
getReferrerClickTimestampServerSeconds,197
getInstallBeginTimestampServerSeconds,197
getAlpha,8627
dismissDirectDownloadAppDetails,101
showDirectDownloadAppDetailsWithExtra,91
showDirectDownloadAppDetails,101
getEnabledFeatures,101
getAppHubVersionCode,101
getRandomUserToken,101
start,42888
a,92823
b,32239
k,3633
j,4469
c,17306
e,13458
d,17003
getAdUnitId,1023
logApiCall,418
setAdReviewListener,256
setExtraParameter,290
setListener,2423
setLocalExtraParameter,312
setRequestListener,205
setRevenueListener,408
getSdk,121
getStringFromAdObject,566
getClCode,421
getLongFromAdObject,538
getJsonObjectFromAdObject,367
getBooleanFromAdObject,697
log,7443
shouldAlwaysRewardUser,694
getReward,683
configureReward,694
getMediaView,331
mediationTag,87
getCachingExecutorService,149
createDrawableFuture,149
getTitle,8699
getBody,1071
getCallToAction,640
getIcon,7359
getFormat,3022
onAdHidden,115
onAdDisplayed,127
onAdDisplayFailed,126
onAdClicked,1527
onAdLoadFailed,374
onAdLoaded,1614
onRewardedAdVideoCompleted,104
onUserRewarded,112
onRewardedAdVideoStarted,104
addInterstitialAdapter,102
addRewardedAdapter,103
removeAdapter,102
addShowingAdapter,100
getVersionString,215
getWrappingSdk,468
getAdvertiser,391
getIconView,159
getRemoteAuthEntryActivity,10
isAppSupportAPI,10
destroy,6249
getPlacementId,758
isAdInvalidated,644
loadAd,2655
setStackTrace,6603
addListener,8790
getBufferedPercentage,109
getBufferedPosition,1374
getContentPosition,206
getCurrentAdGroupIndex,80
getCurrentAdIndexInAdGroup,80
getCurrentManifest,82
getCurrentPeriodIndex,78
getCurrentPosition,2240
getCurrentTag,114
getCurrentTimeline,238
getCurrentTrackGroups,76
getCurrentTrackSelections,79
getCurrentWindowIndex,174
getDuration,8299
getNextWindowIndex,82
getPlayWhenReady,302
getPlaybackError,77
getPlaybackParameters,188
getPreviousWindowIndex,82
getRendererCount,74
getRendererType,81
getShuffleModeEnabled,222
isCurrentWindowDynamic,81
isCurrentWindowSeekable,84
isLoading,354
isPlayingAd,185
release,21168
removeListener,4544
seekToDefaultPosition,161
