APIs,Count 
startSmsRetriever,4
buildQuery,16
startRecordingPeriodically,4
getMetricEvent,3
getFido2ApiClient,3
getAmazonProfileManager,4
getDefaultProgramIdOnDevice,4
unregisterAccount,4
setActiveProfile,4
getSignPendingIntent,3
getRegisterPendingIntent,3
isUserVerifyingPlatformAuthenticatorAvailable,4
setRpId,3
setChallenge,6
setAllowList,3
setRp,3
setUser,20
setAuthenticatorSelection,3
setAttachment,7
incrementCounter,3
addCounter,5
addTimer,2
createConcurrentMetricEvent,6
createMetricEvent,3
addWeblab,1
setEndpoint,190
setUpdateAtInitEnabled,1
createMobileWeblabClient,1
getIMobileWeblabClientAttributes,1
getMarketplace,43
getWeblab,1
getTreatmentAndRecordTrigger,1
getFutureMobileWeblabTrigger,1
getTreatment,1
setShowCancelButton,6
setHintPickerConfig,2
setPhoneNumberIdentifierSupported,3
setEmailAddressIdentifierSupported,3
getHintPickerIntent,3
getWeekData,3
setSsid,48
onScrollChange,7
b0,4
getCompoundPaddingStart,56
getCompoundPaddingEnd,57
setAttachedInDecor,32
canCancel,22
isBackgroundColorFullScreen,22
logoResId,22
backgroundColor,24
userPools,22
signInButton,22
login,69
authUIConfiguration,22
enableFederation,22
setXIncludeAware,71
getCharacterStream,93
getByteStream,60
onGetContentRect,24
renameAccount,11
resolveEntity,39
aa,383
setShouldIntecepter,22
getNativeAdData,37
getMediaExtraInfo,51
loss,37
win,37
onAdDismissed,323
onAdShowed,261
getAdString,241
setAdString,215
getExpressVideoView,52
getBannerView,21
setVideoPlayCallback,52
setBaseData,2
preExecution,64
getCommandData,52
readFieldEnd,3
readUInt8,3
readUInt32,3
writeUInt8,3
setPositionRelative,3
setEndpointUrl,3
HashStringSha256,2
findExistingFiles,2
canAdd,4
getFilesByExtensionForDraining,4
setXuidCallback,2
setDebugVerbosity,2
getDefaultCallingParams,20
performRequest,7
getAccountById,2
getAllAccounts,2
getAccountPickerIntent,2
getSignInIntent,83
getSignUpIntent,2
getSignOutIntent,2
getTicket,2
storeBackup,2
retrieveBackup,2
getAccountManager,14
getTicketManager,4
getCallerStateBundle,10
getPendingIntentBuilder,8
asIntent,2
hasData,18
getClockSkewManager,6
createBlankDocument,4
getDestination,35
appendTimestamp,4
appendDeviceDAToken,2
succeeded,8
nextStartTag,14
getPrefixedTagName,24
nextRequiredText,22
verifyParseCalled,38
nextStartTagNoThrow,28
skipElement,26
readRawOuterXml,2
getVer,5
setVer,5
setCallbackManager,222
getCallbackManager,302
initInterstitial,112
postOnUIThread,564
getProviderName,566
isAdaptersDebugEnabled,453
getDynamicUserId,170
getPluginType,283
releaseMemory,97
onGetOfferwallCreditsFailed,142
onOfferwallClosed,142
onOfferwallAdCredited,142
onOfferwallShowFailed,142
onOfferwallOpened,142
onOfferwallAvailable,142
getNetworkSDKVersion,135
setDebugLevel,146
getPlacementAvailabilitySettings,212
getCharacters,41
getNamespaceUri,12
getPromptManager,34
addCommandToCommandTaskPipeline,41
isSignedByKiwi,34
present,47
getExtensionData,32
getDisplayableName,34
getDisplayableMessage,34
getVisible,35
enqueueAtFront,34
setLocalDispatchPeriod,2
setDryRun,2
setSessionTimeout,28
setScreenName,7
setExceptionParser,2
getHitCount,5
onForceLoad,7
destroyLoader,20
setContentCharset,28
getKeyCharacterMap,11
getControllerNumber,13
hasKeys,10
onAdLoadError,36
buildResult,2
removeHeaders,192
headerIterator,200
containsHeader,259
getLastHeader,123
removeHeader,161
setReasonPhrase,12
setStatusLine,38
getDrawingCacheBackgroundColor,25
onAttachFragment,39
startSearch,13
startNextMatchingActivity,14
setProgressBarIndeterminateVisibility,36
setProgressBarVisibility,15
setDefaultKeyMode,11
setProgressNumberFormat,49
finest,67
synchronizedSortedMap,39
synchronizedSortedSet,38
overlayHorizontalScrollbar,13
getDay,42
getIsSyncable,18
cancelSync,16
getPeriodicSyncs,18
removeStatusChangeListener,11
addStatusChangeListener,12
setTextKeepState,54
tokenize,43
setAddress,100
getCurrentTimezone,44
format2445,14
getJulianDay,25
getWeekNumber,15
setJulianDay,17
getCheckedItemCount,69
setFooterDividersEnabled,41
removeHeaderView,68
setTextFilterEnabled,22
deferNotifyDataSetChanged,11
setAnimationCacheEnabled,38
getCacheColorHint,14
isFastScrollEnabled,19
isFastScrollAlwaysVisible,13
setFastScrollAlwaysVisible,22
isScrollingCacheEnabled,13
setStackFromBottom,13
setTranscriptMode,22
setMultiChoiceModeListener,34
setSelectionAfterHeaderView,19
getFeature,25
authoritiesIterator,100
getRootAdapter,9
setFragment,23
setDependency,19
getOnPreferenceChangeListener,24
onDependencyChanged,5
setSharedPreferencesName,23
onViewStateRestored,111
handleTag,6
formatSameDayTime,7
getAMPMString,6
appendId,40
popBackStackImmediate,29
getAsByteArray,83
markAsContacted,2
getScaledOverflingDistance,15
createFromResource,92
getInputExtras,6
isStaleCheckingEnabled,2
getLinger,2
getSocketBufferSize,2
setLongParameter,4
setIntParameter,26
getIntParameter,11
getLongParameter,4
getBooleanParameter,12
isParameterTrue,3
isParameterFalse,3
setID,119
isYieldAllowed,6
withValues,61
withValueBackReferences,6
withSelectionBackReference,4
getCertificateAlias,24
isUserAMonkey,140
isRunningInTestHarness,62
onDowngrade,36
isStrict,5
getOffsetToLeftOf,7
getOffsetToRightOf,5
getTabContentView,5
getTabCount,24
isTemporary,21
getLocalContentProvider,10
newEntityIterator,23
getEntityValues,8
getSubValues,12
addSubValue,7
getErrorOffset,26
getMaxBytesOverMobile,6
getPasswordExpiration,5
getPasswordMinimumLength,8
getPasswordQuality,7
isActivePasswordSufficient,10
getMaximumTimeToLock,6
getPasswordHistoryLength,5
getPasswordMinimumNonLetter,5
wipeData,8
setPasswordQuality,7
setPasswordMinimumLength,8
setMaximumTimeToLock,7
setPasswordHistoryLength,5
setPasswordMinimumSymbols,5
setPasswordMinimumNumeric,5
setPasswordMinimumNonLetter,5
setStorageEncryption,6
getCameraDisabled,8
onCanceled,18
getPresenceIconResourceId,4
loadInBackground,19
startLoading,10
setUpdateThrottle,9
setValueIndex,18
setDialogTitle,45
onPrepareDialogBuilder,39
setWidgetLayoutResource,64
setDisplayOptions,10
setDisplayUseLogoEnabled,4
invalidateHeaders,10
loadHeadersFromResource,11
onHeaderClick,9
startPreferencePanel,2
newSetOperation,6
getTotalPaddingBottom,54
setTokenizer,64
performValidation,30
findTokenStart,42
findTokenEnd,37
terminateToken,41
assignContactFromEmail,5
assignContactUri,4
malformedForLength,23
onPrepareRingtonePickerIntent,2
onRestoreRingtone,2
onSaveRingtone,3
isChunked,97
isAborted,25
preProcess,11
andNot,35
checkPackageAccess,11
getAttributeNS,12
getTypeLabel,101
markAsReplaced,43
fixText,19
getCredentials,22
getWorkstation,10
toHostString,22
getAppStandbyBucket,120
addCookie,26
isConnectionBased,10
getRealm,43
getValuePos,10
substringTrimmed,11
getProxyHost,20
getTargetHost,58
getHopCount,20
getHopTarget,9
isTunnelled,20
getSocketTimeout,93
isResponseAvailable,85
isStale,168
sendRequestEntity,86
setSocketTimeout,195
onPreferenceChange,24
onDialogClosed,29
generateType1Msg,10
generateType3Msg,10
atEnd,12
getPos,49
updatePos,11
parseElements,65
parseHeaderElement,10
parseNameValuePair,10
parseParameters,9
getParameterByName,11
clearPassword,14
saveRecentQuery,15
dataChanged,77
getAsciiBytes,13
getAsciiString,16
setChildrenCursor,3
addURL,6
getPermissions,91
getTotalStats,76
closeExpiredConnections,11
setMaxTotal,78
setDefaultMaxPerRoute,77
onContentReceived,2
onEntityEnclosed,2
setAccountAuthenticatorResult,3
setupSuggestions,13
addParentStack,52
pushBack,20
ordinaryChar,15
quoteChar,15
lineno,23
resetSyntax,26
wordChars,46
whitespaceChars,33
eolIsSignificant,16
getNextException,40
updateHeader,9
nextHeader,12
isExpired,51
getExpiryDate,23
formatCookies,51
getVersionHeader,10
lessEquals,12
forVersion,10
streamAbort,10
eofDetected,10
incrementBytesTransferred,11
incrementRequestCount,114
incrementResponseCount,114
determineLength,10
keepAlive,11
setExpiryDate,23
setCommentURL,65
setDiscard,65
setPorts,13
containsAttribute,10
parseHeader,25
parseProtocolVersion,9
parseRequestLine,9
parseStatusLine,25
hasProtocolVersion,10
formatHeader,10
appendProtocolVersion,9
formatRequestLine,10
formatStatusLine,9
writeLine,20
formatElements,10
formatHeaderElement,9
formatNameValuePair,9
formatParameters,10
getRequestInterceptorCount,9
getRequestInterceptor,9
getResponseInterceptorCount,9
getResponseInterceptor,9
getCurrentDate,17
getRemotePort,118
getChildrenCount,17
determineRoute,11
getDefaultStrategy,2
custom,24
setConnectionReuseStrategy,2
setKeepAliveStrategy,12
setProxy,5
setDefaultRequestConfig,3
setConnectionManager,15
setDefaultAuthSchemeRegistry,2
abortRequest,12
abortConnection,51
newHttpResponse,10
toRoute,10
layerProtocol,10
tunnelProxy,9
tunnelTarget,10
connectProxy,10
connectTarget,10
nextStep,10
getKeepAliveDuration,16
getUserToken,19
newHttpRequest,10
getEventSetDescriptors,3
getListenerMethods,2
getAddListenerMethod,2
getWriteMethod,56
toXML,3
getSectionForPosition,51
e0,10
a0,10
newFactory,8
intKey,2
getDirectoryScanner,17
getTaskName,16
endOfContent,4
z0,9
getApplicationLogo,102
getTouchables,36
getMaxAllowedKeyLength,60
getImplementationTitle,19
getImplementationVendor,9
setCalendarViewShown,84
getDecimalFormatSymbols,212
computeTime,3
internalGet,49
getElementsByTagNameNS,24
getParameterSet,20
performCompletion,24
getPlayer,19
setShowBuffering,8
showController,8
setResizeMode,8
setUseArtwork,7
setDefaultArtwork,7
setUseController,9
setControllerAutoShow,9
setPlayer,39
getUserAgent,45
createMediaSource,48
getIntervalMillis,39
cancelTask,18
setPeriod,14
setFlex,13
setExecutionWindow,13
setService,15
setUpdateCurrent,13
formatToCharacterIterator,244
setTrackSelector,8
getAttributeNode,19
getAttributeNodeNS,14
hasAttributeNS,8
getReader,23
getNextSibling,58
getLastChild,46
getNode,220
setRoutePlanner,63
setConfig,45
setRedirectsEnabled,9
setNormalizeUri,8
setStaleConnectionCheckEnabled,8
useSystemProperties,14
setMaxConnTotal,14
setMaxConnPerRoute,14
setConnectionTimeToLive,8
disableRedirectHandling,14
disableAutomaticRetries,14
setListSelector,4
getFillContexts,14
getStructure,8
getWindowNodeCount,8
getWindowNodeAt,8
getRootViewNode,8
getAutofillHints,12
getAutofillType,7
getAutofillOptions,6
getAutofillValue,4
addDataset,7
setSaveInfo,7
getListValue,10
getDateValue,9
forDate,6
forList,11
forToggle,4
getNamedItemNS,5
getMAPIMessage,2
getAttachmentFiles,2
getAttachData,2
getAttachmentDirectory,2
printDateTime,2
onChildClick,3
addRenderingHints,3
clearRect,6
clip,193
copyArea,4
draw3DRect,3
drawBytes,3
drawChars,4
drawGlyphVector,3
drawImage,52
drawPolygon,19
drawPolyline,4
drawRenderableImage,3
drawRenderedImage,3
drawString,26
fill3DRect,3
fillArc,4
fillOval,16
fillPolygon,19
fillRect,21
fillRoundRect,4
getComposite,22
getDeviceConfiguration,4
getFontRenderContext,3
getRenderingHint,3
getRenderingHints,3
getStroke,4
hit,4
hitClip,3
setComposite,6
setFont,140
setPaintMode,4
setRenderingHint,7
setRenderingHints,3
setXORMode,4
shear,5
getGraphics,20
createGraphics,10
getRGB,17
getDashArray,2
getDashPhase,2
getEndCap,3
getLineJoin,2
getMiterLimit,2
createStrokedShape,5
isSingular,2
getX1,5
getY1,5
getX2,4
getY2,4
concatenate,2
getTranslateInstance,5
createInverse,2
createTransformedShape,2
getRotateInstance,6
getScaleInstance,9
setToRotation,2
createDefaultRendering,2
getColorModel,17
createCompatibleWritableRaster,8
getAscent,7
getAdvance,3
getDescent,7
getLeading,4
getJustifiedLayout,2
getBounds2D,22
isPlain,2
getFontName,11
deriveFont,2
canDisplay,4
getDefaultToolkit,29
getSpecified,10
newKeyValue,3
newX509IssuerSerial,2
newX509Data,3
newKeyInfo,3
unmarshalXMLSignature,2
getURIDereferencer,2
newSignatureMethod,3
newCanonicalizationMethod,3
newSignedInfo,4
newXMLSignature,3
newDigestMethod,3
newReference,5
newTransform,3
newManifest,2
newXMLObject,3
newSignatureProperty,2
newSignatureProperties,2
setURIDereferencer,4
getSignedInfo,2
getReferences,9
getDigestValue,4
getDigestMethod,2
getOctetStream,2
getCenterX,32
getCenterY,32
getMaxX,4
getMaxY,5
getNumComponents,6
getRaster,17
getDataElements,6
setDataElements,3
getCurrentPoint,4
closePath,11
curveTo,4
getPathIterator,35
getLocalGraphicsEnvironment,9
getDefaultScreenDevice,5
getAllFonts,2
getDefaultConfiguration,5
unmarshal,18
createImageInputStream,6
getImageReaders,4
getImageMetadata,4
getDefaultReadParam,7
getImageTypes,3
getAsTree,5
getIterator,168
getWidths,2
getMaxCharBounds,2
wasSuccessful,10
addPoint,25
numPoints,2
setDegree,2
setKnotVectorType,2
setKnotVector,2
setUseWeightVector,2
setWeightVector,2
appendTo,2
setFlatness,2
newValidator,6
createLSSerializer,66
getDomConfig,2
writeToString,52
getNextJarEntry,26
line,2
file,4
attributeDecl,3
elementDecl,3
externalEntityDecl,3
internalEntityDecl,3
notationDecl,4
unparsedEntityDecl,4
repackage,3
getBaseDir,6
createPath,4
concatSystemClasspath,2
createPathElement,2
setRefid,5
getIncludedFiles,6
getBasedir,3
setProject,36
setTaskName,11
setClasspath,2
setCompiler,2
setDestdir,2
setFailonerror,2
setFork,2
setIncludeantruntime,2
setIncludejavaruntime,2
setSrcdir,2
setMemoryInitialSize,2
setMemoryMaximumSize,2
setOptimize,2
setVerbose,5
setBasedir,2
setDestFile,5
md5,6
dereference,2
putNamespacePrefix,4
setDefaultNamespacePrefix,2
removeEventListener,23
createBufferedImage,3
getBufferedImageType,3
setDestination,11
setDestinationType,3
nextLayout,2
getVal,13
setVal,7
commentText,2
tags,4
dimension,2
qualifiedTypeName,2
asClassDoc,2
qualifiedName,2
containingClass,2
importedClasses,2
importedPackages,2
modifierSpecifier,6
superclass,2
interfaces,2
fields,4
constructors,2
methods,2
innerClasses,2
typeName,10
classes,2
classNamed,2
thrownExceptions,2
parameters,4
returnType,3
marshal,9
addNewClaimedRoles,2
addNewClaimedRole,2
addNewSigPolicyId,2
addNewSigPolicyHash,2
addNewSigPolicyQualifiers,2
addNewIdentifier,2
addNewSigPolicyQualifier,2
getDataObjectFormatList,2
setObjectReference,2
addNewRevocationValues,2
canonicalizeSubtree,2
getPositiveValue,5
getResponseObject,3
getProducedAt,2
getResponderId,2
setCertReq,3
setReqPolicy,2
getStatusString,7
getFailInfo,6
getTimeStampToken,6
getTimeStampInfo,3
getMatches,15
getGenTime,5
getFontRef,3
isSetB,3
isSetI,4
getI,17
currentSegment,19
isSingleLine,3
isNightModeActive,11
ofArgb,263
areNotificationsPaused,6
unregisterScanResultsCallback,1
registerScanResultsCallback,1
getMaxSignalLevel,4
disableNetwork,38
getMaximumFractionDigits,24
setStatusText,8
setDeviceType,13
setStructure,7
setControlTemplate,5
setCustomIcon,8
getControlId,2
getNewState,5
onBlockedStatusChanged,20
getTransportInfo,49
setNamePattern,6
addDeviceFilter,4
setSingleDevice,3
associate,12
getAssociations,7
disassociate,1
onAssociationCreated,1
onAssociationPending,1
setMinusSign,19
isReachable,58
getDomainVerificationUserState,4
isLinkHandlingAllowed,2
getHostToStateMap,4
getWifiSsid,3
hasGateway,3
isDefaultRoute,18
getGateway,14
getPrefixLength,15
is12Key,10
setCountryCode,16
setNumberParts,1
setBssid,15
setSsidPattern,5
getLogManager,47
getLoggerNames,16
getPowerRequirement,20
isCostAllowed,16
glReadBuffer,24
getNoFallbackControl,9
onViewDetachedFromWindow,77
getSku,289
getIdManager,42
registerRollOverListener,13
deleteAllEventsFiles,13
getBatchOfFilesToSend,13
deleteSentFiles,13
deleteOldestInRollOverIfOverMax,13
getHttpRequest,162
getFabric,29
addNotificationActions,1
setStyleIfSupported,1
prefetchBitmapsIfNewlyReceivedStoryPush,1
getOrCreateNotificationChannelId,1
setTitleIfPresent,1
setContentIfPresent,1
setTickerIfPresent,1
setSetShowWhen,1
setContentIntentIfPresent,1
setLargeIconIfPresentAndSupported,1
setSoundIfPresentAndSupported,1
setSummaryTextIfPresentAndSupported,1
setPriorityIfPresentAndSupported,1
setAccentColorIfPresentAndSupported,1
setCategoryIfPresentAndSupported,1
setVisibilityIfPresentAndSupported,1
setPublicVersionIfPresentAndSupported,1
setNotificationBadgeNumberIfPresent,1
isUnreadIndicatorEnabled,100
setCardViewedIndicator,20
getRuntimeAppConfigurationProvider,5
requestFeedRefresh,12
removeSingleSubscription,12
subscribeToFeedUpdates,12
requestFeedRefreshFromCache,12
forJsonPut,20
handleReceivedIntent,2
getUriActionForCard,85
getClassLogTag,5
handleCardClick,100
setImageViewToUrl,80
setCustomInAppMessageManagerListener,13
setCustomHtmlInAppMessageActionListener,6
getDoesBackButtonDismissInAppMessageView,20
getInAppMessageViewFactory,20
getInAppMessageAnimationFactory,20
getInAppMessageViewWrapperFactory,20
getInAppMessageManagerListener,20
getControlInAppMessageManagerListener,20
getDoesClickOutsideModalViewDismissInAppMessageView,20
getHtmlInAppMessageActionListener,20
onInAppMessageButtonClicked,3
onInAppMessageClicked,3
onInAppMessageDismissed,3
getMessageClickableView,20
getCustomAttributes,28
setBrazeDeeplinkHandler,1
getProperViewFromInflatedStub,60
setCard,100
setOptionalTextView,120
logClick,20
getCropType,20
setOptionalCardImage,60
setViewBackground,80
setActionHintText,60
safeSetClipToOutline,20
setWebViewContent,28
setInAppMessageWebViewClient,40
getMessageWebView,40
getMessageCloseButtonView,20
applyWindowInsets,20
setMessageBackgroundColor,20
setMessageTextColor,63
setMessageTextAlign,60
setMessageIcon,40
checkForUpdates,5
signalExternallyReady,5
getImageLoader,18
subscribeToNewInAppMessages,6
subscribeToContentCardsUpdates,6
deserializeInAppMessageString,3
logPushNotificationActionClicked,6
getCustomBrazeNotificationFactory,5
logPushNotificationOpened,12
logPushStoryPageClicked,6
registerAppboyPushMessages,4
requestContentCardsRefresh,6
logCustomEvent,7
logPurchase,7
requestImmediateDataFlush,6
getCurrentUser,51
logFeedDisplayed,6
addSingleSynchronousSubscription,5
getConfiguredApiKey,6
registerPushToken,5
logContentCardsDisplayed,4
getLocalAssetsDirectoryUrl,40
setLocalAssetsDirectoryUrl,20
setFrameColor,40
setMessageButtons,40
setMessageCloseButtonColor,40
setMessageHeaderText,40
setMessageHeaderTextColor,40
setMessageHeaderTextAlignment,40
setLargerCloseButtonClickArea,40
setupDirectionalNavigation,40
getMessageTextColor,40
getMessageTextAlign,60
getIconColor,30
getIconBackgroundColor,20
getClickAction,23
getImageDownloadSuccessful,60
getMessageButtons,40
getImageStyle,40
getFrameColor,40
getCloseButtonColor,40
getHeader,307
getHeaderTextColor,40
getHeaderTextAlign,40
zzbO,139
GetID,1
GetTitle,1
GetBody,1
GetAutoCancel,1
GetSmallIconId,1
GetLargeIconId,1
GetFiredSeconds,1
GetFireInSeconds,1
zzaO,2119
zzbK,126
getMinPlayers,28
getMaxPlayers,28
convertToSetForSetOperation,134
convertToSetForSetOperationWith,134
getKit,2
isDebuggable,2
getActivityLifecycleManager,2
awaitSettingsData,2
getStringsFileValue,2
resolveBuildId,2
logControlled,2
logControlledError,2
getExceptionName,14
getRetryDelay,2
nextRetryState,2
initialRetryState,2
getDelayMillis,2
getMaxByteSizePerFile,2
getMaxFilesToKeep,2
getCurrentTimeMillis,2
header,195
part,4
ok,2
getDeviceIdentifiers,2
getAppIdentifier,2
getAppInstallIdentifier,2
getOsVersionString,2
getModelName,2
setForceDarkStrategy,9
resetCallbacks,2
registerCallbacks,2
buildSingleThreadScheduledExecutorService,2
enableManualSessionTracker,1
setEnabledForDebuggableBuild,3
setApiUrl,2
setInstallUrl,2
setUpdateTrack,3
disableAutomaticCheckForUpdate,3
setRewardListener,21
requestInterstitial,6
collectSignals,2
setPrivacyConsentString,6
setUserID,3
setIsChildDirectedApp,1
setTestModeEnabled,5
setPrivacyFrameworkRequired,6
getZoneID,46
getInitializationState,1
setPlacementListener,2
isAdAvailable,9
showAd,26
getUriContent,5
isOnUiThread,45
getHierarchy,175
setHierarchy,68
getFrameCount,34
getLoopCount,33
getFrameDurationMs,32
setResponseBytesRange,50
setOnNewResultStatusFlags,50
getDebugData,88
onProducerEvent,105
onProducerFinishWithCancellation,105
onProducerFinishWithFailure,105
onProducerFinishWithSuccess,105
onProducerStart,105
onUltimateProducerReached,104
requiresExtraMap,105
getConsumer,1258
produceResults,60
runOnNativeModulesQueueThread,98
setJSExceptionHandler,19
initializeWithInstance,98
getCatalystInstance,55
runOnJSQueueThread,49
hasActiveReactInstance,70
assertOnNativeModulesQueueThread,98
getJSModule,98
hasCatalystInstance,48
addLifecycleEventListener,49
getJSIModule,45
hasCurrentActivity,49
isBridgeless,45
removeLifecycleEventListener,49
isOnUiQueueThread,49
runOnUiQueueThread,49
getNativeModule,95
assertOnUiQueueThread,49
addWindowFocusChangeListener,48
getLifecycleState,49
getSourceURL,45
getJavaScriptContextHolder,32
getExceptionHandler,29
addActivityEventListener,48
toHashMap,34
keySetIterator,30
getViewTag,1934
getTimestampMs,70
getSurfaceId,59
getUIManagerType,19
closeDrawer,57
openDrawer,52
addDrawerListener,48
setDrawerLockMode,48
setDrawerElevation,47
getSoSourceAbis,63
getRootItems,8
isHandlerThread,60
setFailure,231
addControllerListener2,41
removeControllerListener2,41
getControllerOverlay,55
addControllerListener,56
setControllerOverlay,55
getImageRequest,117
getCallerContext,71
getOldController,56
generateUniqueControllerId,56
obtainDataSourceSupplier,56
getThis,55
clearListeners,60
getDrawableParentForIndex,60
getRootBounds,45
getTransformedBounds,45
getParentTransform,120
getPaintFilterBitmap,56
updateTransform,120
updatePath,118
setCurrent,62
shouldRound,57
getTopLevelDrawable,58
setController,119
getSizeInBytes,106
endsWithEOI,120
getByteBufferBackedEncodedImage,60
getEncodedImage,359
setIsIntermediateResultExpectedNoCallbacks,60
setIsPrefetchNoCallbacks,60
setPriorityNoCallbacks,60
onCatalystInstanceDestroy,64
handleReloadJS,34
setAlignContent,50
setAlignItems,51
setAlignSelf,49
setStyleAspectRatio,48
setBorder,131
setFlexBasisPercent,48
setFlexBasisAuto,48
setFlexBasis,48
setFlexDirection,53
setFlexWrap,52
setStyleHeightPercent,48
setStyleHeightAuto,48
setStyleHeight,49
setJustifyContent,53
setMarginPercent,48
setMarginAuto,48
setStyleMaxHeightPercent,48
setStyleMaxHeight,48
setStyleMaxWidthPercent,48
setStyleMaxWidth,48
setStyleMinHeightPercent,48
setStyleMinHeight,63
setStyleMinWidthPercent,48
setStyleMinWidth,48
setOverflow,58
setPositionType,54
setPositionPercent,48
setStyleWidthPercent,48
setStyleWidthAuto,48
setStyleWidth,48
addChildAt,49
onBeforeLayout,30
getProgressCircleDiameter,48
setProgressViewOffset,52
setShowText,51
markUpdated,318
getViewClass,49
getSoFileByName,35
loadLibraryFrom,61
getReactNativeHostHandlers$expo_release,11
invokeDelegateMethod$expo_release,11
statusHasFlag,236
isNotLast,681
statusHasAnyFlag,209
turnOffStatusFlag,59
getDevSettings,34
getCurrentContext,40
getDevServerHelper,34
hideDevLoadingView,34
addCustomDevOption,34
getReactInstanceDevHelper,34
hideRedboxDialog,34
showDevLoadingViewForRemoteJSEnabled,34
getJSAppBundleName,34
reloadJSFromServer,34
fetchSplitBundleAndCreateBundleLoader,34
getReactApplicationContext,2257
getReactApplicationContextIfActiveOrWarn,697
fetchWithRequest,48
setMeasureFunction,272
setDelegate,77
getReactTag,202
dirty,99
onCollectExtraUpdates,70
setThemedContext,61
setImageExtra,43
setImageExtras,45
getExportedCustomDirectEventTypeConstants,104
onAfterUpdateTransaction,149
getExportedCustomBubblingEventTypeConstants,34
setTestId,72
onDropViewInstance,137
addEventEmitters,44
prepareToRecycleView,38
setBaselineFunction,32
spannedFromShadowNode,98
setDefaultPadding,49
setupViewRecycling,38
setSelectionColor,21
setAccessibilityActions,24
setAccessibilityLabelledBy,24
setViewState,26
setAccessibilityValue,24
setShadowColor,28
setPointerMoveCapture,19
setPointerLeaveCapture,19
setPointerEnterCapture,19
setZIndex,141
setRenderToHardwareTexture,24
setRemoveClippedSubviews,35
setPointerMove,24
setPointerLeave,24
setPointerEnter,24
setNativeId,24
setAccessibilityRole,24
setAccessibilityLabel,24
setAccessibilityHint,24
updateExtraData,42
updateProperties,24
getPreviousEvent,23
getCurrentEvent,33
getMapboxMap,11
setMapboxMap,15
setMapView,7
snippet,4
title,13
icon,4
checkThread,79
makeInvalid,3
onDidFinishLoadingStyle,3
onWillStartLoadingMap,3
setDraggable,40
addClickListener,7
addDragListener,1
nativeGetFilter,18
nativeGetSourceId,24
nativeGetSourceLayer,18
nativeSetFilter,18
nativeSetSourceLayer,24
setOnPositionUpdateListener,1
setLatLng,1
getLastRelativePositionX,176
getLastRelativePositionY,176
getLastPositionInWindowX,100
getLastPositionInWindowY,100
setShouldCancelWhenOutside,220
isWithinBounds,44
transformPoint,45
setLayoutAnimationEnabled,27
resolveView,27
resolveViewManager,27
dangerouslyRescheduleEvaluate,31
forceUpdateMemoizedValue,62
performUpdatesNow,30
getScreenCount,38
getScreenAt,37
createTransaction,30
addScreen,37
getReactInstanceManager,28
createViewManagers,15
setSizeMax,9
parseRequest,25
getItemIterator,8
isThresholdExceeded,49
getFocalPoint,20
getGestureDuration,5
getRequiredPointersCount,5
analyzeMovement,5
isSloppyGesture,6
bbox,5
readCoordinateContainer,24
writeCoordinateContainer,24
readPointList,4
writePointList,4
readPoint,16
writePoint,16
getLastLocationFor,5
nativeReset,4
getMapAsync,39
addOnCameraIsChangingListener,1
addOnCameraDidChangeListener,1
addOnDidFailLoadingMapListener,1
addOnDidFinishLoadingMapListener,1
addOnStyleImageMissingListener,1
addOnWillStartRenderingFrameListener,1
addOnDidFinishRenderingFrameListener,1
addOnWillStartRenderingMapListener,1
addOnDidFinishRenderingMapListener,1
addOnDidFinishLoadingStyleListener,1
setMaximumFps,2
getContentInsetStart,33
getContentInsetStartWithNavigation,29
setContentInsetStartWithNavigation,31
setContentInsetsRelative,32
setTitleTextColor,49
getRepository,84
getSizeThreshold,8
setRepository,9
setSizeThreshold,9
parseParameterMap,16
getPointersCount,10
gestureStarted,25
getSvgView,463
setClientRect,191
getClipPath,154
relativeOnWidth,329
relativeOnHeight,328
relativeOnOther,74
getScreen,38
dispatchHeaderBackButtonClickedEvent,30
getParentTextRoot,39
getTextRoot,39
getRegion,61
setAboveLayerID,8
setBelowLayerID,8
setLayerIndex,11
setMaxZoomLevel,8
setMinZoomLevel,8
setReactStyle,8
setSourceID,8
addLayer,16
getLayerAt,4
getLayerCount,3
removeLayer,3
setHasPressListener,2
setHitbox,2
pushGlyphContext,70
popGlyphContext,107
saveAndSetupCanvas,81
drawGroup,147
restoreCanvas,81
getRenderableViewByTag,17
setRenderableView,17
setClipPath,51
setClipRule,51
setMarkerEnd,51
setMarkerMid,51
setMarkerStart,51
setMask,51
setOpacity,78
setPointerEvents,51
setResponsible,51
saveDefinition,37
clearChildCache,37
setupGlyphContext,37
getTextRootGlyphContext,74
hitTest,37
handleEvent,10
buildTileset,2
isDefaultSource,1
setFill,36
setFillOpacity,34
setFillRule,34
setPropList,34
setStrokeDasharray,34
setStrokeDashoffset,34
setStrokeLinecap,34
setStrokeLinejoin,34
setStrokeMiterlimit,34
setStrokeOpacity,34
setVectorEffect,34
getTextAnchorRoot,37
getBaselineShift,37
getAlignmentBaseline,37
setupFillPaint,49
setupStrokePaint,49
getGroupPath,74
initBounds,36
setFontSize,40
setFontWeight,34
getCall,56
getArgsCount$expo_modules_core_release,40
getCppRequiredTypes,10
convertArgs,80
buildObject,11
AsyncFunction,4
Events,10
Constants,13
getLegacyID,9
getRawJson,20
addBreadcrumb,34
setSdk,12
