App Name,App ID,Genre,Installs,APK_file_name,,Permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30秒ドローイング - SPEEDRAW,jp.creemo.SpeedDrawing,アート＆デザイン,"50,000+",SPEEDRAW_1.3_Apkpure.apk,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33の言語を学習する - Mondly,com.atistudios.mondly.languages,教育,"10,000,000+",Learn 33 Languages - Mondly_8.9.7_Apkpure.apk,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.READ_APP_BADGE,com.atistudios.mondly.languages.BIND_GET_INSTALL_REFERRER_SERVICE,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.BLUETOOTH,android.permission.INTERNET,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.FOREGROUND_SERVICE,me.everything.badger.permission.BADGE_COUNT_WRITE,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.WAKE_LOCK,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.singular.preinstall.READ_PERMISSION_SINGULAR,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,com.htc.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.POST_NOTIFICATIONS,android.permission.ACCESS_WIFI_STATE,com.sec.android.provider.badge.permission.READ,com.oppo.launcher.permission.READ_SETTINGS,android.permission.MODIFY_AUDIO_SETTINGS,com.atistudios.mondly.languages.permission.C2D_MESSAGE,com.google.android.gms.permission.AD_ID,android.permission.READ_EXTERNAL_STORAGE,com.android.vending.BILLING,com.android.vending.CHECK_LICENSE,com.atistudios.mondly.languages.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.htc.launcher.permission.UPDATE_SHORTCUT,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.RECORD_AUDIO,com.sec.android.provider.badge.permission.WRITE,android.permission.SCHEDULE_EXACT_ALARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4books: audiolibri e podcasts,it.fourbooks.app,教育,"500,000+",/mnt/c/users/ryutaro/downloads/it.fourbooks.app.apk,android.permission.POST_NOTIFICATIONS,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.READ_MEDIA_IMAGES,android.permission.ACCESS_WIFI_STATE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,it.fourbooks.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,android.permission.WAKE_LOCK,android.permission.READ_PHONE_STATE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.READ_MEDIA_AUDIO,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ストローク機関教育用VR3D,com.rendernet.ottoengine,教育,"1,000,000+",Four-stroke Otto engine 3D_1.98_Apkpure.apk,android.permission.CAMERA,android.permission.INTERNET,android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7Mind Meditation & Achtsamkeit,de.sevenmind.android,健康＆フィットネス,"1,000,000+",7Mind_ Meditation reinvented_2.70.0_Apkpure.apk,android.permission.POST_NOTIFICATIONS,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_WIFI_STATE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.READ_PHONE_STATE,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.SCHEDULE_EXACT_ALARM,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7sGoodー次世代動画ショッピング,com.hhodata.android.hhostore,ショッピング,"100,000+",/mnt/c/users/ryutaro/downloads/com.hhodata.android.hhostore.apk,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_WIFI_STATE,android.permission.READ_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.CAMERA,android.permission.CHANGE_WIFI_STATE,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7分フィットネス 【無料ダイエット 体重管理】,com.popularapp.sevenmins,健康＆フィットネス,"10,000,000+",7 Minute Workout_1.363.125_Apkpure.apk,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.WAKE_LOCK,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.SCHEDULE_EXACT_ALARM,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8fit - ワークアウトと食事のプランナー,com.eightfit.app,健康＆フィットネス,"10,000,000+",8fit Workouts & Meal Planner_23.01.0_Apkpure.apk,com.android.vending.CHECK_LICENSE,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.POST_NOTIFICATIONS,android.permission.ACCESS_WIFI_STATE,android.permission.WRITE_CALENDAR,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_CALENDAR,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.CAMERA,android.permission.INTERNET,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABEMA（アベマ）テレビやアニメ等の動画配信アプリ,tv.abema,動画プレーヤー＆エディタ,"10,000,000+",ABEMA（アベマ）テレビやアニメ等の動画配信アプリ_10.32.0_Apkpure.apk,android.permission.POST_NOTIFICATIONS,com.google.android.c2dm.permission.RECEIVE,android.permission.WAKE_LOCK,android.permission.SYSTEM_ALERT_WINDOW,tv.abema.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,android.permission.INTERNET,android.permission.FOREGROUND_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.SCHEDULE_EXACT_ALARM,android.permission.ACCESS_NETWORK_STATE,android.permission.RECEIVE_BOOT_COMPLETED,com.android.vending.BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHAビデオチャット&ビデオ通話,live.aha.n,ソーシャルネットワーク,"5,000,000+",AHA Live Random Video Chat_2.11_Apkpure.apk,com.huawei.android.launcher.permission.READ_SETTINGS,com.huawei.android.launcher.permission.CHANGE_BADGE,android.permission.READ_APP_BADGE,android.permission.READ_MEDIA_VIDEO,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.READ_MEDIA_AUDIO,android.permission.CAMERA,android.permission.BLUETOOTH,android.permission.INTERNET,com.oppo.launcher.permission.WRITE_SETTINGS,android.permission.FOREGROUND_SERVICE,android.permission.USE_CREDENTIALS,me.everything.badger.permission.BADGE_COUNT_WRITE,com.anddoes.launcher.permission.UPDATE_COUNT,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,me.everything.badger.permission.BADGE_COUNT_READ,android.permission.WAKE_LOCK,com.huawei.android.launcher.permission.WRITE_SETTINGS,android.permission.VIBRATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,com.htc.launcher.permission.READ_SETTINGS,android.permission.RECEIVE_BOOT_COMPLETED,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,android.permission.POST_NOTIFICATIONS,com.sec.android.provider.badge.permission.READ,com.oppo.launcher.permission.READ_SETTINGS,android.permission.MODIFY_AUDIO_SETTINGS,com.google.android.gms.permission.AD_ID,android.permission.READ_EXTERNAL_STORAGE,com.android.vending.BILLING,android.permission.READ_MEDIA_IMAGES,live.aha.n.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION,com.htc.launcher.permission.UPDATE_SHORTCUT,com.android.launcher.permission.INSTALL_SHORTCUT,com.sonyericsson.home.permission.BROADCAST_BADGE,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.RECORD_AUDIO,com.sec.android.provider.badge.permission.WRITE,,,,,,,,,,,,,,,,,,,,,,,,,,,
