com.google.android.apps.photos.permission.GOOGLE_PHOTOS,11
android.permission.BATTERY_STATS,10
android.permission.RECEIVE_SMS,10
android.permission.RECEIVE_USER_PRESENT,10
android.permission.SUBSCRIBED_FEEDS_READ,10
android.permission.SUBSCRIBED_FEEDS_WRITE,10
com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER,10
com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER,10
com.android.alarm.permission.SET_ALARM,10
com.android.launcher.permission.WRITE_SETTINGS,10
com.asus.msa.SupplementaryDID.ACCESS,10
com.google.android.googleapps.permission.GOOGLE_AUTH,10
com.singular.preinstall.READ_PERMISSION_SINGULAR,10
android.permission.NEARBY_WIFI_DEVICES,9
android.permission.WRITE_SMS,9
com.amazon.identity.permission.CAN_CALL_MAP_INFORMATION_PROVIDER,9
com.amazon.identity.permission.GENERIC_IPC,9
oppo.permission.OPPO_COMPONENT_SAFE,9
android.permission.CHANGE_CONFIGURATION,8
com.google.android.gm.permission.READ_GMAIL,8
android.permission.ACCESS_DOWNLOAD_MANAGER,7
android.permission.INSTALL_PACKAGES,7
android.permission.BIND_ACCESSIBILITY_SERVICE,6
android.permission.CLEAR_APP_CACHE,6
android.permission.DELETE_PACKAGES,6
android.permission.GET_INTENT_SENDER_INTENT,6
android.permission.READ_SETTINGS,6
android.permission.RESTART_PACKAGES,6
android.permission.SEND_SMS,6
android.permission.WRITE_MEDIA_STORAGE,6
com.google.android.hangouts.START_HANGOUT,6
com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,6
com.samsung.android.iap.permission.BILLING,6
android.permission.ANSWER_PHONE_CALLS,5
android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK,5
android.permission.INTERACT_ACROSS_USERS_FULL,5
android.permission.READ_CALL_LOG,5
android.permission.RECEIVE_MMS,5
android.permission.RECORD_VIDEO,5
android.permission.USE_EXACT_ALARM,5
android.permission.WRITE_INTERNAL_STORAGE,5
com.apkpure.aegon.permission.PROCESS_PUSH_MSG,5
com.apkpure.aegon.permission.PUSH_PROVIDER,5
com.coloros.mcs.permission.RECIEVE_MCS_MESSAGE,5
com.facebook.katana.provider.ACCESS,5
com.tencent.assistant.permission.A_PERMISSION,5
android.permission.ACCESS_LOCATION,4
android.permission.Ad_ID,4
android.permission.BLUETOOTH_PRIVILEGED,4
android.permission.CAPTURE_VIDEO_OUTPUT,4
android.permission.GET_ACCOUNTS_PRIVILEGED,4
android.permission.INSTALL_SHORTCUT,4
android.permission.INTERACT_ACROSS_USERS,4
android.permission.MANAGE_OWN_CALLS,4
android.permission.READ_INTERNAL_STORAGE,4
android.permission.WRITE_SECURE_SETTINGS,4
android.webkit.PermissionRequest,4
com.android.browser.permission.READ_HISTORY_BOOKMARKS,4
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,4
com.facebook.permission.prod.FB_APP_COMMUNICATION,4
com.facebook.receiver.permission.ACCESS,4
com.google.android.googleapps.permission.GOOGLE_AUTH.writely,4
com.google.android.voicesearch.AUDIO_FILE_ACCESS,4
com.heytap.mcs.permission.RECIEVE_MCS_MESSAGE,4
com.samsung.accessory.permission.ACCESSORY_FRAMEWORK,4
freemme.permission.msa,4
MediaStore.Images.Media.EXTERNAL_CONTENT_URI,3
MediaStore.Images.Media.INTERNAL_CONTENT_URI,3
amazon.speech.permission.SEND_ALEXA_DIRECTIVE,3
android.permission.ACCESS_COARSE_UPDATES,3
android.permission.ACCESS_GPS,3
android.permission.BIND_APPWIDGET,3
android.permission.FOREGROUND_SERVICE_CAMERA,3
android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION,3
android.permission.FOREGROUND_SERVICE_MICROPHONE,3
android.permission.FOREGROUND_SERVICE_PHONE_CALL,3
android.permission.READ_MEDIA_VISUAL_USER_SELECTED,3
android.permission.READ_USER_DICTIONARY,3
android.permission.SET_WALLPAPER_HINTS,3
android.permission.STOP_APP_SWITCHES,3
